rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points;pm;ppg;shg;f_shg;gw;ot
288;Tomas Hertl;SJS;C;37;15;10;25;30;10;40;11;3;0;0;3;0
289;Daniel Briere;MTL;C;69;13;12;25;26;12;38;1;4;0;0;1;0
290;Brenden Morrow;STL;L;71;13;12;25;26;12;38;1;4;0;0;3;0
291;Brandon Pirri;CHI, FLA;C;49;13;12;25;26;12;38;6;3;0;0;0;0
292;Marcel Goc;FLA, PIT;C;74;11;14;25;22;14;36;-7;0;0;0;1;0
293;Damien Brunner;NJD;R;60;11;14;25;22;14;36;-11;4;0;0;1;0
294;Nick Holden;COL;D;54;10;15;25;20;15;35;12;2;0;0;2;0
295;Trevor Daley;DAL;D;67;9;16;25;18;16;34;10;1;0;0;3;0
296;Lauri Korpikoski;PHX;L;64;9;16;25;18;16;34;-7;1;0;0;0;0
297;Dougie Hamilton;BOS;D;64;7;18;25;14;18;32;22;2;0;0;1;0
298;Seth Jones;NSH;D;77;6;19;25;12;19;31;-23;2;0;0;2;1
299;Curtis Glencross;CGY;L;38;12;12;24;24;12;36;-11;3;0;0;2;0
300;Nail Yakupov;EDM;R;63;11;13;24;22;13;35;-33;4;0;0;1;0
301;Matt Nieto;SJS;L;66;10;14;24;20;14;34;-4;1;0;0;2;0
302;Riley Nash;CAR;C;73;10;14;24;20;14;34;0;1;0;0;3;0
303;Matt Calvert;CBJ;L;56;9;15;24;18;15;33;-1;2;0;0;1;0
304;Matt Beleskey;ANA;L;55;9;15;24;18;15;33;8;0;0;0;2;0
305;Riley Sheahan;DET;C;42;9;15;24;18;15;33;8;2;0;0;1;0
306;Kyle Brodziak;MIN;C;81;8;16;24;16;16;32;0;0;1;2;1;0
307;Tuomo Ruutu;CAR, NJD;R;76;8;16;24;16;16;32;-18;3;0;0;2;0
308;Aleksander Barkov;FLA;C;54;8;16;24;16;16;32;-3;3;0;0;1;0
309;Dan Girardi;NYR;D;81;5;19;24;10;19;29;6;1;0;0;0;0
310;Marc-Edouard Vlasic;SJS;D;81;5;19;24;10;19;29;31;0;1;2;0;0
311;Jake Muzzin;LAK;D;76;5;19;24;10;19;29;8;1;0;0;0;0
312;Kevin Bieksa;VAN;D;76;4;20;24;8;20;28;-8;1;0;0;1;1
313;Steve Downie;COL, PHI;R;62;4;20;24;8;20;28;1;3;0;0;1;0
314;Shawn Matthias;FLA, VAN;C;77;12;11;23;24;11;35;-3;0;0;0;0;0
315;Brad Richardson;VAN;R;73;11;12;23;22;12;34;1;1;2;4;2;1
316;Ryan Smyth;EDM;L;72;10;13;23;20;13;33;-18;5;0;0;1;0
